wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872157.301072,3.645622,511.320068,-4.101269,2.348644,0.829039,1779872157296-0,0.004116
1779872157.316269,3.660819,511.340057,-4.100341,2.350942,0.828918,1779872157316-0,0.002481
1779872157.336327,3.680876,511.360077,-4.099406,2.354174,0.828818,1779872157336-0,0.003366
1779872157.356534,3.701084,511.380066,-4.098669,2.355745,0.828736,1779872157356-0,0.001737
1779872157.376528,3.721077,511.400055,-4.098471,2.358571,0.828759,1779872157376-0,0.002833
1779872157.401209,3.745759,511.420044,-4.098305,2.360337,0.828778,1779872157396-0,0.001774
1779872157.416376,3.760926,511.440063,-4.098032,2.362807,0.828809,1779872157416-0,0.002485
1779872157.436363,3.780912,511.460052,-4.097894,2.363965,0.828822,1779872157436-0,0.001166
1779872157.456994,3.801544,511.480072,-4.097586,2.366470,0.828841,1779872157456-0,0.002524
1779872157.476406,3.820956,511.500061,-4.097456,2.367458,0.828843,1779872157476-0,0.000997
1779872157.496309,3.840858,511.520050,-4.097197,2.369277,0.828836,1779872157496-0,0.001837
1779872157.524774,3.869324,511.540161,-4.097069,2.370113,0.828822,1779872157516-0,0.000846
1779872157.536563,3.881113,511.560303,-4.096785,2.371911,0.828747,1779872157536-0,0.001822
1779872157.556345,3.900894,511.580078,-4.096673,2.372624,0.828691,1779872157556-0,0.000724
1779872157.576620,3.921170,511.600067,-4.096422,2.374169,0.828505,1779872157576-0,0.001577
1779872157.596385,3.940934,511.620056,-4.096318,2.374786,0.828400,1779872157596-0,0.000634
1779872157.624085,3.968635,511.640045,-4.096108,2.375937,0.828154,1779872157616-0,0.001196
1779872157.636441,3.980991,511.660065,-4.096002,2.376472,0.828020,1779872157636-0,0.000562
1779872157.656851,4.001401,511.680267,-4.095744,2.377613,0.827692,1779872157656-0,0.001214
1779872157.676416,4.020965,511.700043,-4.095627,2.378055,0.827555,1779872157676-0,0.000477
1779872157.696497,4.041047,511.720062,-4.095376,2.378854,0.827308,1779872157696-0,0.000874
1779872157.725319,4.069869,511.740082,-4.095198,2.379327,0.827163,1779872157716-0,0.000526
1779872157.736543,4.081092,511.760071,-4.094930,2.379959,0.826971,1779872157736-0,0.000712
1779872157.756805,4.101355,511.780212,-4.094798,2.380242,0.826886,1779872157756-0,0.000323
1779872157.776829,4.121379,511.800171,-4.094530,2.380734,0.826735,1779872157776-0,0.000580
1779872157.796803,4.141352,511.820221,-4.094347,2.381004,0.826647,1779872157796-0,0.000338
1779872157.824969,4.169519,511.840057,-4.094063,2.381325,0.826530,1779872157816-0,0.000445
1779872157.836450,4.181000,511.860168,-4.093917,2.381452,0.826478,1779872157836-0,0.000200
1779872157.857015,4.201565,511.880066,-4.093564,2.381665,0.826366,1779872157856-0,0.000428
1779872157.876464,4.221014,511.900116,-4.093405,2.381725,0.826322,1779872157876-0,0.000175
1779872157.896436,4.240985,511.920044,-4.093012,2.381793,0.826222,1779872157896-0,0.000412
1779872157.916381,4.260931,511.940033,-4.092835,2.381793,0.826180,1779872157916-0,0.000182
1779872157.941332,4.285882,511.960052,-4.092472,2.381739,0.826098,1779872157936-0,0.000376
1779872157.956312,4.300862,511.980072,-4.092288,2.381684,0.826058,1779872157956-0,0.000197
1779872157.976404,4.320953,512.000061,-4.091864,2.381479,0.825973,1779872157976-0,0.000478
1779872157.996329,4.340879,512.020081,-4.091690,2.381356,0.825943,1779872157996-0,0.000216
1779872158.016292,4.360842,512.040039,-4.091362,2.381042,0.825893,1779872158016-0,0.000456
1779872158.036272,4.380821,512.060059,-4.091213,2.380849,0.825876,1779872158036-0,0.000244
1779872158.060802,4.405351,512.080078,-4.090910,2.380304,0.825853,1779872158056-0,0.000624
1779872158.076828,4.421378,512.100037,-4.090796,2.380033,0.825850,1779872158076-0,0.000294
1779872158.096301,4.440851,512.120056,-4.090588,2.379430,0.825854,1779872158096-0,0.000638
1779872158.116320,4.460870,512.140076,-4.090465,2.378982,0.825863,1779872158116-0,0.000464
1779872158.136247,4.480797,512.160034,-4.090302,2.378240,0.825886,1779872158136-0,0.000760
1779872158.156316,4.500865,512.180054,-4.090231,2.377837,0.825900,1779872158156-0,0.000410
1779872158.182074,4.526624,512.200073,-4.090096,2.376814,0.825942,1779872158176-0,0.001033
1779872158.196451,4.541001,512.220032,-4.090050,2.376340,0.825962,1779872158196-0,0.000476
1779872158.216562,4.561112,512.240051,-4.089985,2.375331,0.826008,1779872158216-0,0.001012
1779872158.236486,4.581036,512.260071,-4.089965,2.374796,0.826032,1779872158236-0,0.000537
1779872158.256354,4.600904,512.280029,-4.089956,2.373465,0.826092,1779872158256-0,0.001332
1779872158.281566,4.626116,512.300049,-4.089969,2.372860,0.826120,1779872158276-0,0.000606
1779872158.296741,4.641291,512.320068,-4.090028,2.371584,0.826184,1779872158296-0,0.001278
